life_expectancy,adult_mortality,bmi,hiv_aids,income_comp_res,schooling
73.9,92.0,64.7,0.1,0.804,13.9
82.1,61.0,64.2,0.1,0.8909999999999999,15.9
63.8,247.0,18.9,1.3,0.46399999999999997,10.2
65.2,24.0,39.6,1.1,0.622,11.7
64.0,221.0,38.1,0.1,0.0,10.2
65.1,217.0,24.7,1.2,0.527,10.3
74.8,129.0,52.4,0.1,0.6940000000000001,11.4
72.0,142.0,47.1,0.1,0.639,11.2
56.7,336.0,2.9,4.3,0.442,10.6
79.0,159.0,61.1,0.1,0.688,13.1
65.7,24.0,76.2,0.1,0.581,11.9
71.8,123.0,51.7,0.1,0.589,10.3
67.1,192.0,29.3,0.2,0.5589999999999999,11.0
63.3,273.0,15.5,0.2,0.0,8.4
61.1,314.0,22.8,4.3,0.57,12.5
58.2,366.0,21.2,6.3,0.5429999999999999,12.0
72.9,172.0,35.5,0.1,0.762,13.5
54.0,485.0,42.2,28.9,0.613,12.9
58.2,354.0,22.8,5.0,0.517,9.8
73.7,121.0,45.4,0.4,0.753,14.2
78.7,96.0,59.9,0.1,0.773,14.7
69.5,144.0,14.6,0.1,0.523,8.4
71.0,175.0,5.9,0.2,0.706,12.8
73.5,134.0,55.0,0.1,0.74,12.6
62.0,289.0,31.3,3.3,0.42700000000000005,5.0
59.9,271.0,18.6,0.1,0.47600000000000003,10.0
72.6,11.0,56.2,0.1,0.737,11.8
73.0,117.0,3.5,0.2,0.643,13.5
59.9,26.0,19.4,0.6,0.39899999999999997,7.7
66.5,22.0,39.6,0.1,0.446,7.3
74.8,99.0,65.4,0.1,0.763,13.3
75.4,124.0,59.5,0.1,0.76,15.3
62.8,225.0,2.8,0.6,0.435,7.1
44.6,613.0,15.2,24.2,0.36200000000000004,10.3
73.9,158.0,27.9,0.2,0.711,13.1
55.3,473.0,45.7,23.5,0.616,12.9
73.0,121.0,46.5,0.1,0.6729999999999999,11.7
74.8,141.0,45.9,0.1,0.7340000000000001,13.1
78.9,91.0,58.1,0.1,0.7959999999999999,14.9
